unit_id,wav,source,recording,family_rule,start_ms,end_ms,duration_ms,locality,region,recordist,year,snrp,seg_idx,label_class,kept,exclusion_reasons,knn15_majority_cluster,outside_envelope
ML77514_04,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_04.wav,macaulay,ML77514,,13190,13510,320,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,4,"vocalisation, species unconfirmed",True,,11,False
ML77514_05,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_05.wav,macaulay,ML77514,,14540,14910,370,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,5,"vocalisation, species unconfirmed",True,,11,False
ML77514_06,/opt/data/macaulay_kaka_probe/report/merged_units/ML77514_06.wav,macaulay,ML77514,,18760,18970,210,South Island; Franz Josef Glacier,,Mark Robbins,1990,7.6,6,"vocalisation, species unconfirmed",True,,11,False
ML71632_00,,macaulay,ML71632,,120,420,300,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,0,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope;knn15_noise_majority;first_segment_tape_head_risk,-1,True
ML71632_01,,macaulay,ML71632,,1560,1790,230,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,1,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope,16,True
ML71632_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_02.wav,macaulay,ML71632,,9150,10520,1370,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,2,"vocalisation, species unconfirmed",True,,25,False
ML71632_03,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_03.wav,macaulay,ML71632,,13140,13420,280,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,3,"vocalisation, species unconfirmed",True,,7,False
ML71632_04,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_04.wav,macaulay,ML71632,,18850,19110,260,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,4,"vocalisation, species unconfirmed",True,,7,False
ML71632_05,,macaulay,ML71632,,21110,21390,280,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,5,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML71632_06,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_06.wav,macaulay,ML71632,,21570,22010,440,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,6,"vocalisation, species unconfirmed",True,,26,False
ML71632_07,,macaulay,ML71632,,25100,25630,530,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,7,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML71632_08,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_08.wav,macaulay,ML71632,,28630,29000,370,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,8,"vocalisation, species unconfirmed",True,,17,False
ML71632_09,/opt/data/macaulay_kaka_probe/report/merged_units/ML71632_09.wav,macaulay,ML71632,,49550,49810,260,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,9,"vocalisation, species unconfirmed",True,,16,False
ML71632_10,,macaulay,ML71632,,53570,54100,530,North Island; Pureona State Forest,,Scott  Connop,1993,11.45,10,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML515237_00,,macaulay,ML515237,,930,1280,350,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,0,"vocalisation, species unconfirmed",False,first_segment_tape_head_risk,12,False
ML515237_01,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_01.wav,macaulay,ML515237,,3670,4020,350,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,1,"vocalisation, species unconfirmed",True,,12,False
ML515237_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_02.wav,macaulay,ML515237,,4370,4690,320,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,2,"vocalisation, species unconfirmed",True,,20,False
ML515237_03,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_03.wav,macaulay,ML515237,,26350,26820,470,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,3,"vocalisation, species unconfirmed",True,,20,False
ML515237_04,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_04.wav,macaulay,ML515237,,27930,28170,240,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,4,"vocalisation, species unconfirmed",True,,12,False
ML515237_05,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_05.wav,macaulay,ML515237,,34570,34920,350,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,5,"vocalisation, species unconfirmed",True,,20,False
ML515237_06,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_06.wav,macaulay,ML515237,,35780,36360,580,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,6,"vocalisation, species unconfirmed",True,,20,False
ML515237_07,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_07.wav,macaulay,ML515237,,38550,38750,200,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,7,"vocalisation, species unconfirmed",True,,12,False
ML515237_08,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_08.wav,macaulay,ML515237,,40800,41050,250,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,8,"vocalisation, species unconfirmed",True,,20,False
ML515237_09,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_09.wav,macaulay,ML515237,,45700,45910,210,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,9,"vocalisation, species unconfirmed",True,,20,False
ML515237_10,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_10.wav,macaulay,ML515237,,47720,47930,210,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,10,"vocalisation, species unconfirmed",True,,20,False
ML515237_11,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_11.wav,macaulay,ML515237,,55520,55800,280,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,11,"vocalisation, species unconfirmed",True,,20,False
ML515237_12,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_12.wav,macaulay,ML515237,,58560,59140,580,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,12,"vocalisation, species unconfirmed",True,,20,False
ML515237_13,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_13.wav,macaulay,ML515237,,59560,59770,210,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,13,"vocalisation, species unconfirmed",True,,12,False
ML515237_14,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_14.wav,macaulay,ML515237,,60090,60300,210,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,14,"vocalisation, species unconfirmed",True,,20,False
ML515237_15,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_15.wav,macaulay,ML515237,,73980,74350,370,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,15,"vocalisation, species unconfirmed",True,,20,False
ML515237_16,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_16.wav,macaulay,ML515237,,81200,81430,230,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,16,"vocalisation, species unconfirmed",True,,12,False
ML515237_17,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_17.wav,macaulay,ML515237,,83060,83410,350,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,17,"vocalisation, species unconfirmed",True,,12,False
ML515237_18,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_18.wav,macaulay,ML515237,,83520,83940,420,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,18,"vocalisation, species unconfirmed",True,,20,False
ML515237_19,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_19.wav,macaulay,ML515237,,87420,87680,260,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,19,"vocalisation, species unconfirmed",True,,12,False
ML515237_20,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_20.wav,macaulay,ML515237,,91630,91930,300,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,20,"vocalisation, species unconfirmed",True,,20,False
ML515237_21,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_21.wav,macaulay,ML515237,,92230,92440,210,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,21,"vocalisation, species unconfirmed",True,,12,False
ML515237_22,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_22.wav,macaulay,ML515237,,93410,93690,280,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,22,"vocalisation, species unconfirmed",True,,20,False
ML515237_23,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_23.wav,macaulay,ML515237,,94060,94340,280,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,23,"vocalisation, species unconfirmed",True,,20,False
ML515237_24,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_24.wav,macaulay,ML515237,,102070,102350,280,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,24,"vocalisation, species unconfirmed",True,,20,False
ML515237_25,,macaulay,ML515237,,102730,102930,200,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,25,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML515237_26,/opt/data/macaulay_kaka_probe/report/merged_units/ML515237_26.wav,macaulay,ML515237,,103050,103280,230,Fiorland NP--Smithy Creek campground,Southland,Cedar Mathers-Winn,2014,8.79,26,"vocalisation, species unconfirmed",True,,12,False
ML40602671_00,,macaulay,ML40602671,,140,390,250,Maungatautari--Southern Enclosure & Taut,Waikato,Myron Gerhard,2016,6.57,0,"vocalisation, species unconfirmed",False,knn15_noise_majority;first_segment_tape_head_risk,-1,False
ML40602671_01,,macaulay,ML40602671,,4160,4670,510,Maungatautari--Southern Enclosure & Taut,Waikato,Myron Gerhard,2016,6.57,1,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML40602671_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML40602671_02.wav,macaulay,ML40602671,,6590,6940,350,Maungatautari--Southern Enclosure & Taut,Waikato,Myron Gerhard,2016,6.57,2,"vocalisation, species unconfirmed",True,,11,False
ML94335961_00,,macaulay,ML94335961,,3510,3850,340,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,0,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;first_segment_tape_head_risk,12,False
ML94335961_01,,macaulay,ML94335961,,4480,5500,1020,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,1,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,20,False
ML94335961_02,,macaulay,ML94335961,,5780,6570,790,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,2,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,20,False
ML94335961_03,,macaulay,ML94335961,,18550,18850,300,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,3,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_04,,macaulay,ML94335961,,19500,19920,420,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,4,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,16,False
ML94335961_05,,macaulay,ML94335961,,21340,21870,530,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,5,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,16,False
ML94335961_06,,macaulay,ML94335961,,24240,24450,210,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,6,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,25,False
ML94335961_07,,macaulay,ML94335961,,44540,44810,270,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,7,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_08,,macaulay,ML94335961,,47830,48070,240,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,8,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,19,False
ML94335961_09,,macaulay,ML94335961,,52290,52660,370,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,9,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,16,False
ML94335961_10,,macaulay,ML94335961,,53800,54030,230,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,10,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_11,,macaulay,ML94335961,,55030,55260,230,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,11,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_12,,macaulay,ML94335961,,55960,58070,2110,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,12,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_13,,macaulay,ML94335961,,58470,59510,1040,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,13,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,22,False
ML94335961_14,,macaulay,ML94335961,,61230,61490,260,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,14,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_15,,macaulay,ML94335961,,61670,62810,1140,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,15,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_16,,macaulay,ML94335961,,67850,68100,250,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,16,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_17,,macaulay,ML94335961,,70890,71100,210,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,17,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_18,,macaulay,ML94335961,,73400,74160,760,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,18,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_19,,macaulay,ML94335961,,75460,75700,240,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,19,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_20,,macaulay,ML94335961,,82150,82640,490,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,20,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_21,,macaulay,ML94335961,,82780,82990,210,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,21,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_22,,macaulay,ML94335961,,91700,92550,850,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,22,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_23,,macaulay,ML94335961,,94530,95090,560,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,23,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_24,,macaulay,ML94335961,,209140,210120,980,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,24,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,16,False
ML94335961_25,,macaulay,ML94335961,,210350,210670,320,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,25,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,16,False
ML94335961_26,,macaulay,ML94335961,,211230,211510,280,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,26,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_27,,macaulay,ML94335961,,224280,225580,1300,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,27,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,20,False
ML94335961_28,,macaulay,ML94335961,,227440,228110,670,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,28,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_29,,macaulay,ML94335961,,327050,327770,720,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,29,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,26,False
ML94335961_30,,macaulay,ML94335961,,327940,328860,920,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,30,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_31,,macaulay,ML94335961,,328980,329680,700,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,31,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_32,,macaulay,ML94335961,,330370,330770,400,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,32,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_33,,macaulay,ML94335961,,338250,338620,370,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,33,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_34,,macaulay,ML94335961,,344470,345400,930,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,34,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_35,,macaulay,ML94335961,,347280,347530,250,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,35,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,15,False
ML94335961_36,,macaulay,ML94335961,,349690,350600,910,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,36,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_37,,macaulay,ML94335961,,354220,355080,860,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,37,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;knn15_noise_majority,-1,False
ML94335961_38,,macaulay,ML94335961,,355920,356640,720,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,38,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,11,False
ML94335961_39,,macaulay,ML94335961,,358560,359630,1070,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,39,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_40,,macaulay,ML94335961,,367600,367900,300,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,40,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_41,,macaulay,ML94335961,,368010,368310,300,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,41,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_42,,macaulay,ML94335961,,370400,370660,260,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,42,"vocalisation, species unconfirmed",False,recording_wholesale_94335961,24,False
ML94335961_43,,macaulay,ML94335961,,371010,371260,250,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,43,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_44,,macaulay,ML94335961,,373470,373730,260,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,44,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML94335961_45,,macaulay,ML94335961,,375140,375700,560,"Granville Forest, Ahaura",West Coast,Jordan Miller,2017,207.56,45,"vocalisation, species unconfirmed",False,recording_wholesale_94335961;outside_xc_p95_envelope,24,True
ML112615561_00,,macaulay,ML112615561,,5780,6060,280,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,0,"vocalisation, species unconfirmed",False,first_segment_tape_head_risk,26,False
ML112615561_01,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_01.wav,macaulay,ML112615561,,15420,15840,420,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,1,"vocalisation, species unconfirmed",True,,26,False
ML112615561_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_02.wav,macaulay,ML112615561,,17930,18830,900,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,2,"vocalisation, species unconfirmed",True,,26,False
ML112615561_03,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_03.wav,macaulay,ML112615561,,18990,19410,420,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,3,"vocalisation, species unconfirmed",True,,26,False
ML112615561_04,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_04.wav,macaulay,ML112615561,,19920,20340,420,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,4,"vocalisation, species unconfirmed",True,,26,False
ML112615561_05,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_05.wav,macaulay,ML112615561,,22410,23410,1000,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,5,"vocalisation, species unconfirmed",True,,26,False
ML112615561_06,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_06.wav,macaulay,ML112615561,,24570,25120,550,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,6,"vocalisation, species unconfirmed",True,,26,False
ML112615561_07,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_07.wav,macaulay,ML112615561,,30880,31210,330,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,7,"vocalisation, species unconfirmed",True,,26,False
ML112615561_08,/opt/data/macaulay_kaka_probe/report/merged_units/ML112615561_08.wav,macaulay,ML112615561,,35850,36150,300,Waipapa Forest edge (Ranginui Rd),Waikato,Jim Kirker,2018,13.59,8,"vocalisation, species unconfirmed",True,,26,False
ML181837401_00,,macaulay,ML181837401,,720,1040,320,Pureorea central block (general)--aka Pi,Manawatu-Wanganui,D Smith,2019,19.02,0,"vocalisation, species unconfirmed",False,first_segment_tape_head_risk,25,False
ML181837401_01,/opt/data/macaulay_kaka_probe/report/merged_units/ML181837401_01.wav,macaulay,ML181837401,,6010,6760,750,Pureorea central block (general)--aka Pi,Manawatu-Wanganui,D Smith,2019,19.02,1,"vocalisation, species unconfirmed",True,,26,False
ML181837401_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML181837401_02.wav,macaulay,ML181837401,,11380,12140,760,Pureorea central block (general)--aka Pi,Manawatu-Wanganui,D Smith,2019,19.02,2,"vocalisation, species unconfirmed",True,,26,False
ML269670601_00,,macaulay,ML269670601,,510,950,440,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,0,"vocalisation, species unconfirmed",False,knn15_noise_majority;first_segment_tape_head_risk,-1,False
ML269670601_01,/opt/data/macaulay_kaka_probe/report/merged_units/ML269670601_01.wav,macaulay,ML269670601,,2440,2830,390,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,1,"vocalisation, species unconfirmed",True,,26,False
ML269670601_02,/opt/data/macaulay_kaka_probe/report/merged_units/ML269670601_02.wav,macaulay,ML269670601,,3180,3530,350,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,2,"vocalisation, species unconfirmed",True,,26,False
ML269670601_03,,macaulay,ML269670601,,5530,5920,390,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,3,"vocalisation, species unconfirmed",False,knn15_noise_majority,-1,False
ML269670601_04,,macaulay,ML269670601,,9520,9730,210,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,4,"vocalisation, species unconfirmed",False,outside_xc_p95_envelope;knn15_noise_majority,-1,True
ML269670601_05,/opt/data/macaulay_kaka_probe/report/merged_units/ML269670601_05.wav,macaulay,ML269670601,,15630,15840,210,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,5,"vocalisation, species unconfirmed",True,,26,False
ML269670601_06,/opt/data/macaulay_kaka_probe/report/merged_units/ML269670601_06.wav,macaulay,ML269670601,,20990,21200,210,Tawharanui Regional Park,Auckland,Aaron Skelton,2020,28.28,6,"vocalisation, species unconfirmed",True,,26,False
ML381123041_00,,macaulay,ML381123041,,16160,16460,300,"Ness Valley Road (366), Ness Valley",Auckland,Sue F,2021,71.46,0,"vocalisation, species unconfirmed",False,first_segment_tape_head_risk,12,False
